pdv_id,pdv,cidade,tipologia,vendedor,supervisor,regime_compra,mes_entrada,caso_plantado,mes_inicio_caso
28,Pizza Fonte Nova,São Braz do Campo,Pizzaria,Aline Duarte,Sérgio Gonçalves,ciclico,2025-09,normal,
29,Supermercado Moinho 2,Tabuleiro Alto,Supermercado,Aline Araújo,André Santos,mensal,2021-08,normal,
30,Loja Terra Boa,Serra Cansada,Loja de Conveniência,Helena Gonçalves,André Santos,mensal,2025-01,normal,
31,Lanches Cravo,Bela Corrente,Lanchonete,Sandra Cardoso,André Santos,ciclico,2021-08,normal,
32,Açaí Chapada,Monte Cravo,Açaiteria,Mariana Oliveira,Eduardo Cardoso,mensal,2025-04,atrito,
33,Lanchonete Lagoa Azul,Quatro Cruzes,Lanchonete,Aline Duarte,Sérgio Gonçalves,esporadico,2021-08,normal,
34,Loja Jacarandá,Figueira Branca,Loja de Conveniência,Emerson Pinheiro,Vinícius Barbosa,mensal,2021-08,normal,
35,Padaria e Confeitaria Brisa,Itaquerê,Padaria,Aline Araújo,André Santos,mensal,2022-02,normal,
36,Casa de Refeições Porto Seguro Velho,São Braz do Campo,Restaurante,Silvana Silva,Vinícius Barbosa,ciclico,2024-08,normal,
37,Super Moinho,Olho d'Água Grande,Supermercado,Joana Medeiros,Vinícius Barbosa,ciclico,2021-08,atrito,
38,Panificadora Estrela,Santa Ilha,Padaria,Marcos Bezerra,Amanda Machado,esporadico,2021-08,normal,
39,Restaurante Estrela,Vila Cascata,Restaurante,Joana Medeiros,Vinícius Barbosa,ciclico,2021-08,normal,
40,Hamburgueria Veredas,Vale Formoso do Norte,Hamburgueria,Aline Pacheco,Mariana Cunha,ciclico,2025-11,normal,
41,Ponto do Lanche Fonte Nova,Lagoa Vermelha do Norte,Lanchonete,Cláudia Miranda,Mariana Cunha,esporadico,2021-08,atrito,
42,Restaurante Varanda,Vista Alegre do Ipê,Restaurante,Tatiane Sales,Mariana Cunha,esporadico,2021-08,normal,
43,Pizzaria Farol,Porto Bandeira,Pizzaria,Murilo Alves,André Santos,mensal,2022-04,normal,
44,Panificadora Primavera,Serra Cansada,Padaria,Adriana Ferreira,André Santos,esporadico,2021-08,atrito,
45,Padaria Sabor Real,Serra Cansada,Padaria,André Cardoso,Vinícius Barbosa,mensal,2021-08,normal,
46,Cafeteria Brisa,Figueira Branca,Cafeteria,Paulo Correia,Eduardo Cardoso,mensal,2024-07,normal,
47,Casa de Refeições Cerrado,Bela Corrente,Restaurante,Nelson Nunes,Eduardo Cardoso,ciclico,2021-08,normal,
48,Supermercado Raiz Forte,Marimbondo,Supermercado,Joana Medeiros,Vinícius Barbosa,esporadico,2021-08,normal,
49,Cantina Dois Irmãos,Santa Ilha,Restaurante,Igor Batista,Amanda Machado,ciclico,2025-11,normal,
50,Loja Guarani,Serra Cansada,Loja de Conveniência,Gustavo Vasconcelos,Amanda Machado,mensal,2022-10,atrito,
51,Panificadora Olaria,Guaraúna,Padaria,André Batista,Sérgio Oliveira,mensal,2021-09,normal,
52,Mercadinho Raiz Forte,Barra do Piraquê,Minimercado,Cláudia Miranda,Mariana Cunha,esporadico,2024-11,normal,
53,Restaurante Orquídea,Bela Corrente,Restaurante,Helena Vieira,Amanda Machado,mensal,2021-08,atrito,
54,Loja Dois Irmãos,Umbuzeiro,Loja de Conveniência,Aline Duarte,Sérgio Gonçalves,mensal,2025-09,normal,
55,Ponto do Lanche Vila Nova,Vista Alegre do Ipê,Lanchonete,Gustavo Fonseca,Mariana Cunha,mensal,2025-06,normal,
56,Lanchonete Maré Alta,Tabuleiro Alto,Lanchonete,Silvana Andrade,Amanda Machado,esporadico,2021-08,normal,
57,Mercado Ipê Roxo,Itaquerê,Minimercado,André Batista,Sérgio Oliveira,ciclico,2021-08,normal,
58,Casa de Refeições Umbu,Guaraúna,Restaurante,Vanessa Teixeira,Sérgio Gonçalves,ciclico,2025-10,normal,
59,Mercado Oliveira,Ipê Sereno,Minimercado,Sandra Cardoso,André Santos,ciclico,2025-04,atrito,
60,Restaurante Fonte Nova,Alto Sereno,Restaurante,Flávio Lima,André Santos,mensal,2021-08,normal,
61,Padaria e Confeitaria Aurora,Serra Cansada,Padaria,Daniel Mendes,André Santos,mensal,2022-05,normal,
62,Mercadinho Juriti,Alto Sereno,Minimercado,Natália Almeida,Vinícius Barbosa,mensal,2026-03,normal,
63,Padaria e Confeitaria Olaria 2,Vila Aurora,Padaria,Wagner Braga,Sérgio Gonçalves,mensal,2024-04,atrito,
64,Super Pitanga,Piraquara do Oeste,Supermercado,César Araújo,Vinícius Barbosa,ciclico,2021-08,atrito,
65,Restaurante Veredas,Ipê Sereno,Restaurante,Lucas Braga,André Santos,esporadico,2021-08,normal,
66,Gelateria Farol,Sertão Novo,Sorveteria,Yara Coelho,Sérgio Oliveira,mensal,2021-08,mix,2025-09
67,Minimercado Sempre Viva,Campo Ferrugem,Minimercado,Raquel Ferreira,Vinícius Barbosa,mensal,2025-01,atrito,
68,Atacadão Vale Verde,Várzea Comprida,Atacadista,Rafael Teixeira,Sérgio Oliveira,ciclico,2021-09,atrito,
69,Cantina Jacarandá,Alto Sereno,Restaurante,Igor Rodrigues,Eduardo Cardoso,esporadico,2021-08,atrito,
70,Conveniência Candeia,Campo Ferrugem,Loja de Conveniência,Adriana Xavier,Eduardo Cardoso,mensal,2021-08,atrito,
71,Lanches Santa Clara,Vista Alegre do Ipê,Lanchonete,Emerson Pinheiro,Vinícius Barbosa,mensal,2023-07,normal,
72,Café Vitória Régia,São Braz do Campo,Cafeteria,Wagner Braga,Sérgio Gonçalves,mensal,2023-07,normal,
73,Panificadora Maré Alta,Itaquerê,Padaria,Joana Medeiros,Vinícius Barbosa,mensal,2023-02,atrito,
74,Pizzaria Figueira,Santa Ilha,Pizzaria,Diego Martins,Sérgio Gonçalves,esporadico,2025-06,normal,
75,Minimercado Quintal,Guaraúna,Minimercado,João Cavalcanti,Eduardo Cardoso,esporadico,2022-01,normal,
76,Gelateria Esperança,Xambrê,Sorveteria,Kelly Carvalho,Sérgio Gonçalves,mensal,2021-08,normal,
77,Padaria Rio Claro,Piraquara do Oeste,Padaria,Adriana Xavier,Eduardo Cardoso,mensal,2022-03,atrito,
78,Restaurante Farol,Bela Corrente,Restaurante,Aline Araújo,André Santos,ciclico,2024-10,atrito,
79,Pizzaria Sossego,Fonte Limeira,Pizzaria,Kelly Santos,Eduardo Cardoso,mensal,2023-04,normal,
80,Mercado Juriti,Figueira Branca,Minimercado,Mauro Pacheco,Sérgio Oliveira,mensal,2021-08,normal,
81,Padaria e Confeitaria Esperança,Campo Ferrugem,Padaria,Gustavo Fonseca,Mariana Cunha,mensal,2021-08,normal,
82,Supermercado Flor de Sal,São Braz do Campo,Supermercado,Tatiane Sales,Mariana Cunha,ciclico,2023-05,normal,
83,Pizzaria Luar,Umbuzeiro,Pizzaria,Rodrigo Dias,Vinícius Barbosa,ciclico,2021-08,normal,
84,Hamburgueria Vila Nova,Encosta Nova,Hamburgueria,Roberta Nogueira,André Santos,mensal,2021-08,parada,2026-04
85,Conveniência Encanto,Passo Ruivo,Loja de Conveniência,Antônio Freitas,Vinícius Barbosa,esporadico,2021-08,atrito,
86,Minimercado Tamarindo,Santa Ilha,Minimercado,Roberta Pinheiro,Amanda Machado,mensal,2021-08,parada,2025-10
87,Gelateria Terra Boa,Nova Aurora do Vale,Sorveteria,Bruno Nogueira,Sérgio Oliveira,mensal,2025-12,normal,
88,Mercadinho Bandeirante,Tabuleiro Alto,Minimercado,Wagner Martins,Amanda Machado,mensal,2022-04,atrito,
89,Pizza Recanto,Umbuzeiro,Pizzaria,Débora Maia,Eduardo Cardoso,mensal,2021-08,parada,2026-03
90,Mercadinho Bandeirante 2,Quatro Cruzes,Minimercado,Aline Pacheco,Mariana Cunha,esporadico,2024-10,normal,
91,Hamburgueria Bom Retiro,Quatro Cruzes,Hamburgueria,Raquel Ferreira,Vinícius Barbosa,mensal,2021-08,normal,
92,Super Ipê Roxo,Fonte Limeira,Supermercado,Tatiane Sales,Mariana Cunha,mensal,2021-08,normal,
93,Lanches Pitanga,Vila Cascata,Lanchonete,Murilo Alves,André Santos,esporadico,2024-04,normal,
94,Minimercado Brisa,Taquaruçu do Meio,Minimercado,Igor Bezerra,Amanda Machado,ciclico,2024-11,normal,
95,Panificadora Horizonte,Jaraguandu,Padaria,Wagner Braga,Sérgio Gonçalves,ciclico,2025-02,normal,
96,Pizza Pinheiro,Cravinho do Sul,Pizzaria,Joana Medeiros,Vinícius Barbosa,mensal,2021-08,atrito,
97,Supermercado Rosa dos Ventos,Nova Aurora do Vale,Supermercado,Isabela Lopes,Mariana Cunha,mensal,2021-08,normal,
98,Lanches Farol,Xambrê,Lanchonete,Diego Martins,Sérgio Gonçalves,mensal,2024-05,normal,
99,Padaria Cascata,Alto Sereno,Padaria,Letícia Ferreira,Sérgio Oliveira,esporadico,2021-08,atrito,
100,Mercadinho Tijuca Velha,Várzea Comprida,Minimercado,Wagner Braga,Sérgio Gonçalves,mensal,2022-05,atrito,
101,Lanches Sol Nascente,Olho d'Água Grande,Lanchonete,Rodrigo Dias,Vinícius Barbosa,mensal,2026-04,normal,
102,Lanches Olaria,Tabuleiro Alto,Lanchonete,Paulo Correia,Eduardo Cardoso,ciclico,2023-04,atrito,
103,Super Santa Clara,Sertão Novo,Supermercado,Aline Araújo,André Santos,esporadico,2023-11,normal,
104,Pizzaria Tijuca Velha,Ribeira Funda,Pizzaria,Joana Medeiros,Vinícius Barbosa,mensal,2026-01,normal,
105,Café Maré Alta,Vila Aurora,Cafeteria,Adriana Xavier,Eduardo Cardoso,mensal,2021-10,normal,
106,Casa de Refeições Bandeirante,Taquaruçu do Meio,Restaurante,Wagner Rodrigues,Mariana Cunha,mensal,2021-08,normal,
107,Atacado Figueira,Umbuzeiro,Atacadista,Aline Araújo,André Santos,mensal,2021-08,sangramento,2025-10
108,Lanches Jacarandá,Vale Formoso do Norte,Lanchonete,João Cavalcanti,Eduardo Cardoso,ciclico,2022-08,normal,
109,Panificadora Horizonte 2,Jaraguandu,Padaria,Isabela Lopes,Mariana Cunha,ciclico,2023-11,normal,
110,Sorveteria Jatobá,Vale Formoso do Norte,Sorveteria,André Batista,Sérgio Oliveira,ciclico,2021-08,normal,
111,Mercadinho Moinho,Piraquara do Oeste,Minimercado,Sabrina Andrade,Vinícius Barbosa,ciclico,2022-02,normal,
112,Pizza Recanto 2,Jaraguandu,Pizzaria,Aline Duarte,Sérgio Gonçalves,esporadico,2024-02,atrito,
113,Mercadinho Sempre Viva,Lagoa Vermelha do Norte,Minimercado,Vinícius Carvalho,Amanda Machado,esporadico,2021-08,normal,
114,Gelateria Rio Claro,Cravinho do Sul,Sorveteria,Igor Bezerra,Amanda Machado,mensal,2022-07,normal,
115,Hamburgueria Quintal,Xambrê,Hamburgueria,Roberta Nogueira,André Santos,mensal,2021-08,atrito,
116,Atacado Central,Pedra Molhada,Atacadista,Márcia Sales,Sérgio Oliveira,mensal,2025-05,normal,
117,Ponto do Lanche Ipê Roxo,Nova Aurora do Vale,Lanchonete,Gabriel Ferreira,André Santos,esporadico,2025-02,normal,
118,Restaurante Dois Irmãos,Vista Alegre do Ipê,Restaurante,Murilo Alves,André Santos,esporadico,2021-08,atrito,
119,Atacadão Farol,Vila Aurora,Atacadista,Marcos Bezerra,Amanda Machado,esporadico,2025-02,normal,
120,Sorveteria Guarani,São Braz do Campo,Sorveteria,Silvana Santos,Mariana Cunha,mensal,2021-08,parada,2026-03
121,Padaria e Confeitaria Varanda,Várzea Comprida,Padaria,Raquel Ferreira,Vinícius Barbosa,mensal,2021-08,atrito,
122,Mercado Pequi,Porto Bandeira,Minimercado,Ricardo Teixeira,Sérgio Gonçalves,mensal,2021-08,normal,
123,Supermercado Recanto,Taquaruçu do Meio,Supermercado,Silvana Andrade,Amanda Machado,mensal,2021-08,atrito,
124,Açaí Farol,São Braz do Campo,Açaiteria,Débora Nunes,Sérgio Gonçalves,mensal,2021-08,atrito,
125,Pizza Cravo,Vista Alegre do Ipê,Pizzaria,Vanessa Teixeira,Sérgio Gonçalves,mensal,2023-07,normal,
126,Panificadora Nascente,Xambrê,Padaria,Sandra Cardoso,André Santos,ciclico,2021-08,normal,
127,Lanches Aurora,Três Bicas,Lanchonete,Wagner Braga,Sérgio Gonçalves,mensal,2021-08,atrito,
128,Lanchonete Brisa,Umbuzeiro,Lanchonete,Vinícius Siqueira,Eduardo Cardoso,mensal,2021-08,normal,
129,Super Ouro Fino,Porto Bandeira,Supermercado,Silvana Silva,Vinícius Barbosa,mensal,2025-08,atrito,
130,Buffet Umbu,Palmeira Torta,Buffet e Eventos,Wagner Alves,Amanda Machado,esporadico,2021-08,normal,
131,Açaí Olaria,Bela Corrente,Açaiteria,Diego Martins,Sérgio Gonçalves,mensal,2021-08,normal,
132,Café Pitanga,Várzea Comprida,Cafeteria,Letícia Ferreira,Sérgio Oliveira,mensal,2021-08,atrito,
133,Cantina Xodó,Tabuleiro Alto,Restaurante,Aline Almeida,Sérgio Gonçalves,ciclico,2021-08,normal,
134,Atacadão Candeia,Serra Cansada,Atacadista,Yara Santos,Eduardo Cardoso,mensal,2025-05,normal,
135,Minimercado Pitanga,Tabuleiro Alto,Minimercado,Wagner Braga,Sérgio Gonçalves,ciclico,2021-08,atrito,
136,Lanches Xodó,Xambrê,Lanchonete,André Cardoso,Vinícius Barbosa,mensal,2021-08,normal,
137,Lanchonete Nova Era,Taquaruçu do Meio,Lanchonete,Cláudia Correia,Vinícius Barbosa,mensal,2024-05,atrito,
138,Padaria e Confeitaria Mirante,Jaraguandu,Padaria,Gabriel Ferreira,André Santos,mensal,2021-08,parada,2025-10
139,Cantina Flor de Sal,Ipê Sereno,Restaurante,Murilo Alves,André Santos,esporadico,2024-09,normal,
140,Pizzaria Porto Seguro Velho,Serra Cansada,Pizzaria,Murilo Alves,André Santos,mensal,2025-05,normal,
141,Mercado Ponte Velha,Riozinho Claro,Minimercado,Wagner Braga,Sérgio Gonçalves,ciclico,2021-08,normal,
142,Lanchonete Tamarindo,Sertão Novo,Lanchonete,Sabrina Andrade,Vinícius Barbosa,esporadico,2021-08,normal,
143,Ponto do Lanche Ouro Fino,Monte Cravo,Lanchonete,Joana Medeiros,Vinícius Barbosa,mensal,2026-02,normal,
144,Açaí Tucano,Marimbondo,Açaiteria,Patrícia Braga,André Santos,mensal,2021-08,normal,
145,Pizza Serrana,Alto Sereno,Pizzaria,Márcia Sales,Sérgio Oliveira,esporadico,2022-11,atrito,
146,Casa de Refeições Ipanema Velha,Piraquara do Oeste,Restaurante,Tatiane Sales,Mariana Cunha,mensal,2021-08,mix,2025-12
147,Atacado Palmeira,Vila Aurora,Atacadista,Sandra Cardoso,André Santos,mensal,2021-08,sangramento,2025-06
148,Ponto do Lanche Tijuca Velha,Olho d'Água Grande,Lanchonete,Letícia Ferreira,Sérgio Oliveira,mensal,2021-08,atrito,
149,Ponto do Lanche Ipê Roxo 2,Monte Cravo,Lanchonete,Simone Maia,André Santos,ciclico,2021-08,normal,
150,Restaurante Capim Doce,Itaquerê,Restaurante,Vanessa Teixeira,Sérgio Gonçalves,esporadico,2026-01,normal,
151,Lanchonete Maré Alta 2,Pedra Molhada,Lanchonete,Tatiane Sales,Mariana Cunha,mensal,2021-09,atrito,
152,Cantina Oliveira,Monte Cravo,Restaurante,Kelly Carvalho,Sérgio Gonçalves,ciclico,2021-08,atrito,
153,Mercado Primavera,Umbuzeiro,Minimercado,Joana Medeiros,Vinícius Barbosa,mensal,2025-01,normal,
154,Sorveteria Estrela,Serra Cansada,Sorveteria,Helena Gonçalves,André Santos,mensal,2021-08,normal,
155,Panificadora Horizonte 3,Porto Bandeira,Padaria,Natália Almeida,Vinícius Barbosa,mensal,2021-08,parada,2025-10
156,Padaria Brisa,Nova Aurora do Vale,Padaria,Simone Maia,André Santos,esporadico,2021-08,normal,
157,Casa de Refeições Horizonte,Monte Cravo,Restaurante,Tatiane Sales,Mariana Cunha,ciclico,2026-02,normal,
158,Supermercado Umbu,Riozinho Claro,Supermercado,Marcos Almeida,Sérgio Oliveira,mensal,2024-02,normal,
159,Minimercado Recanto,Palmeira Torta,Minimercado,Marcos Almeida,Sérgio Oliveira,mensal,2021-08,atrito,
160,Cantina Maré Alta,Jaraguandu,Restaurante,Cláudia Correia,Vinícius Barbosa,esporadico,2021-08,normal,
161,Pizza Aurora,Guaraúna,Pizzaria,Murilo Alves,André Santos,mensal,2023-07,normal,
162,Café Esperança,Cravinho do Sul,Cafeteria,Aline Duarte,Sérgio Gonçalves,mensal,2021-08,atrito,
163,Casa de Refeições Ponte Velha,Piraquara do Oeste,Restaurante,Patrícia Rezende,Mariana Cunha,ciclico,2024-03,normal,
164,Lanches Esperança,Monte Cravo,Lanchonete,Helena Gonçalves,André Santos,mensal,2022-07,atrito,
165,Atacado Estrela,Vila Aurora,Atacadista,Igor Bezerra,Amanda Machado,ciclico,2021-10,normal,
166,Ponto do Lanche Dois Irmãos,Olho d'Água Grande,Lanchonete,Sabrina Andrade,Vinícius Barbosa,esporadico,2021-08,normal,
167,Panificadora Bela Vista,Alto Sereno,Padaria,Flávio Lima,André Santos,mensal,2022-01,atrito,
168,Café Jacarandá,Marimbondo,Cafeteria,Mariana Oliveira,Eduardo Cardoso,esporadico,2021-08,normal,
169,Lanches Sossego,São Braz do Campo,Lanchonete,Nelson Nunes,Eduardo Cardoso,esporadico,2021-08,normal,
170,Pizza Nascente,Bela Corrente,Pizzaria,Flávio Lima,André Santos,mensal,2021-08,parada,2025-07
171,Loja Raiz Forte,Porto Bandeira,Loja de Conveniência,Helena Vieira,Amanda Machado,ciclico,2021-08,atrito,
172,Casa de Refeições Palmeira,Guaraúna,Restaurante,Jorge Sousa,Vinícius Barbosa,mensal,2021-08,atrito,
173,Conveniência Santa Clara,Alto Sereno,Loja de Conveniência,Fernanda Sampaio,Sérgio Gonçalves,mensal,2021-12,normal,
174,Café Guarani,Praia do Sino,Cafeteria,Roberta Pinheiro,Amanda Machado,mensal,2022-05,parada,2025-12
175,Supermercado Chapada,Sertão Novo,Supermercado,André Cardoso,Vinícius Barbosa,ciclico,2021-08,normal,
176,Padaria e Confeitaria Candeia,Praia do Sino,Padaria,Wagner Braga,Sérgio Gonçalves,mensal,2021-08,normal,
177,Loja Nova Era,Itaquerê,Loja de Conveniência,Natália Almeida,Vinícius Barbosa,mensal,2021-08,normal,
178,Casa de Refeições Jacarandá,Serra Cansada,Restaurante,Ricardo Teixeira,Sérgio Gonçalves,ciclico,2021-08,atrito,
179,Padaria e Confeitaria Ipê Roxo,Ribeira Funda,Padaria,Rafael Teixeira,Sérgio Oliveira,mensal,2021-08,normal,
180,Açaí Candeia,Três Bicas,Açaiteria,Aline Almeida,Sérgio Gonçalves,mensal,2021-08,normal,
181,Sorveteria Veredas,Encosta Nova,Sorveteria,Fernanda Sampaio,Sérgio Gonçalves,mensal,2025-10,normal,
182,Conveniência Girassol,Lagoa Vermelha do Norte,Loja de Conveniência,Vinícius Carvalho,Amanda Machado,esporadico,2023-04,normal,
183,Pizza Bandeirante 2,Várzea Comprida,Pizzaria,Gustavo Fonseca,Mariana Cunha,mensal,2021-08,voltou,2025-10
184,Mercado Nascente,Três Bicas,Minimercado,Aline Almeida,Sérgio Gonçalves,mensal,2023-12,normal,
185,Panificadora Primavera 2,Jaraguandu,Padaria,Wesley Siqueira,Amanda Machado,mensal,2025-01,atrito,
186,Panificadora Recanto,Ribeira Funda,Padaria,Lucas Braga,André Santos,ciclico,2022-08,atrito,
187,Pizzaria Umbu,Jaraguandu,Pizzaria,Cláudia Correia,Vinícius Barbosa,esporadico,2021-08,normal,
188,Ponto do Lanche Vila Nova 2,Vila Cascata,Lanchonete,Wagner Braga,Sérgio Gonçalves,ciclico,2021-08,normal,
189,Minimercado Encanto,Figueira Branca,Minimercado,Igor Batista,Amanda Machado,mensal,2021-08,sangramento,2025-11
190,Minimercado Pedra Alta,Vila Aurora,Minimercado,Cláudia Correia,Vinícius Barbosa,esporadico,2023-09,atrito,
191,Restaurante Maracanã Velho,Riozinho Claro,Restaurante,Murilo Alves,André Santos,ciclico,2023-06,atrito,
192,Hamburgueria Raiz Forte,Marimbondo,Hamburgueria,Joana Medeiros,Vinícius Barbosa,esporadico,2024-08,atrito,
193,Panificadora Umbu,Santa Ilha,Padaria,Aline Araújo,André Santos,mensal,2021-10,normal,
194,Padaria Rio Claro 2,Vila Aurora,Padaria,Juliana Xavier,Mariana Cunha,ciclico,2024-11,atrito,
195,Ponto do Lanche Ipê Roxo 3,Quatro Cruzes,Lanchonete,Yara Santos,Eduardo Cardoso,mensal,2025-08,atrito,
196,Restaurante Guarani,Barra do Piraquê,Restaurante,Mauro Pacheco,Sérgio Oliveira,mensal,2024-02,atrito,
197,Pizza Recanto 3,Umbuzeiro,Pizzaria,Igor Batista,Amanda Machado,ciclico,2025-05,normal,
198,Lanches Pequi,Olho d'Água Grande,Lanchonete,Sandra Mendes,Sérgio Gonçalves,ciclico,2021-08,atrito,
199,Cantina Bela Vista,Alto Sereno,Restaurante,Geraldo Cavalcanti,Mariana Cunha,mensal,2021-08,degrau,2025-11
200,Super Encanto,Taquaruçu do Meio,Supermercado,Vanessa Teixeira,Sérgio Gonçalves,esporadico,2021-08,normal,
201,Casa do Café Vila Nova,Figueira Branca,Cafeteria,Tatiane Sales,Mariana Cunha,esporadico,2021-08,normal,
202,Minimercado Aurora,Santa Ilha,Minimercado,Daniel Mendes,André Santos,mensal,2021-08,normal,
203,Padaria e Confeitaria Vale Verde,Praia do Sino,Padaria,Helena Vieira,Amanda Machado,mensal,2021-08,normal,
204,Loja Olaria,Santa Ilha,Loja de Conveniência,Wagner Martins,Amanda Machado,mensal,2021-08,mix,2025-07
205,Super Tucano,Barra do Piraquê,Supermercado,Aline Duarte,Sérgio Gonçalves,mensal,2021-08,atrito,
206,Cantina Varanda,Itaquerê,Restaurante,Aline Araújo,André Santos,mensal,2021-08,atrito,
207,Lanchonete Chapada,Nova Aurora do Vale,Lanchonete,Rodrigo Dias,Vinícius Barbosa,esporadico,2025-06,normal,
208,Supermercado Horizonte,Passo Ruivo,Supermercado,Aline Duarte,Sérgio Gonçalves,ciclico,2025-06,normal,
209,Atacadão Pitanga,Riozinho Claro,Atacadista,Aline Araújo,André Santos,mensal,2024-12,normal,
210,Cantina Estrela,Umbuzeiro,Restaurante,Antônio Freitas,Vinícius Barbosa,esporadico,2024-11,atrito,
211,Loja Cravo,Tabuleiro Alto,Loja de Conveniência,Lucas Braga,André Santos,ciclico,2025-02,atrito,
212,Panificadora Ipê Roxo,Cravinho do Sul,Padaria,Vinícius Carvalho,Amanda Machado,mensal,2021-08,parada,2026-03
213,Distribuidora Bandeirante,Alto Sereno,Atacadista,Adriana Xavier,Eduardo Cardoso,esporadico,2022-07,normal,
214,Minimercado Cravo,Bela Corrente,Minimercado,Joana Medeiros,Vinícius Barbosa,ciclico,2021-08,normal,
215,Gelateria Santa Clara,Bela Corrente,Sorveteria,Wagner Braga,Sérgio Gonçalves,mensal,2024-06,normal,
216,Minimercado Bandeirante,Vale Formoso do Norte,Minimercado,Wesley Lima,Sérgio Oliveira,esporadico,2021-08,normal,
217,Cantina Bandeirante,Porto Bandeira,Restaurante,Letícia Ferreira,Sérgio Oliveira,mensal,2021-08,atrito,
218,Casa de Refeições Tucano,Palmeira Torta,Restaurante,César Araújo,Vinícius Barbosa,esporadico,2021-08,normal,
219,Restaurante Pequi,Vila Cascata,Restaurante,Antônio Freitas,Vinícius Barbosa,mensal,2021-08,voltou,2025-10
220,Eventos Pitanga,Três Bicas,Buffet e Eventos,Sandra Cardoso,André Santos,mensal,2023-12,atrito,
221,Restaurante Candeia,Umbuzeiro,Restaurante,Wesley Lima,Sérgio Oliveira,mensal,2021-08,atrito,
222,Minimercado Rio Claro,Vista Alegre do Ipê,Minimercado,Carlos Teixeira,Eduardo Cardoso,ciclico,2023-02,normal,
223,Minimercado Palmeira,Piraquara do Oeste,Minimercado,João Cavalcanti,Eduardo Cardoso,mensal,2021-08,parada,2025-09
